hour,julFDpm,julG1co,julG1no2,julG1o3,julG1pres,julG1rh,julG1so2,julG1temp,julG2co,julG2no2,julG2o3,julG2pres,julG2rh,julG2so2,julG2temp,julSFApm,julwdir,julwspd,julYpm
0,5.9669271,0.077013321,0.01252704,0.036157373,1019.2592,77.425018,0.044271186,60.755066,0.086046271,0.013356402,0.035164263,1018.3339,76.609154,0.020398669,60.833679,5.2626948,304.48264,0.11369819,5.611537
1,5.7183828,0.079522274,0.01163094,0.033616573,1019.0775,79.402519,0.045111608,60.031773,0.095373228,0.013022021,0.034693237,1017.9207,78.874733,0.021505721,60.255741,5.1948271,248.79878,0.15963824,5.3807178
2,5.7493968,0.075683273,0.01042132,0.032752607,1018.9022,81.681419,0.046556499,59.091579,0.099823408,0.01189164,0.033947695,1017.7433,80.561745,0.022650421,59.486927,5.045948,219.81581,0.1889113,6.1411481
3,5.7200055,0.082264334,0.009699719,0.032468393,1018.8139,82.693138,0.047052089,58.56488,0.10867187,0.011432081,0.032760128,1017.6492,81.45826,0.022903662,58.888195,4.8208785,263.67807,0.20543513,5.2242727
4,5.461627,0.097967617,0.011004517,0.031145651,1018.8941,83.294075,0.04707513,58.366135,0.11681306,0.011342172,0.033537064,1017.6954,82.023926,0.023003163,58.574162,4.7485609,255.88544,0.20932041,5.0544486
5,5.7108688,0.14526239,0.010915053,0.029443402,1019.0911,83.297104,0.04917464,58.302303,0.17079359,0.010618825,0.032305717,1017.8935,82.652863,0.024963858,58.34005,5.1416016,249.67845,0.26519528,5.3223348
6,6.3870883,0.22471415,0.014666837,0.027142692,1019.3513,80.981285,0.053874195,59.400978,0.24059917,0.012383208,0.0308176,1018.147,81.526604,0.027017711,58.840549,6.0440078,269.67932,0.26622728,5.8922195
7,6.3590183,0.16173309,0.019456727,0.02598664,1019.7706,73.347923,0.052051149,63.642166,0.17683874,0.01706838,0.030111568,1018.543,77.446915,0.02383977,61.606922,6.0804935,247.83559,0.44792518,5.9315429
8,6.5671697,0.1076155,0.020050345,0.024784977,1020.0854,67.134575,0.046125732,66.811699,0.12065788,0.019572206,0.025353627,1018.8959,71.075714,0.023183281,64.843407,6.3434277,259.72351,0.80271798,6.0543671
9,6.3001356,0.09622474,0.023612844,0.020936858,1020.2115,61.789673,0.040952776,69.818825,0.11386661,0.021472162,0.022711756,1019.0847,65.434242,0.021319004,67.843918,5.8707275,249.86615,1.0336449,5.5839553
10,7.4224553,0.090105891,0.026668107,0.02084697,1020.1723,59.209595,0.034331352,71.362396,0.10910214,0.022482388,0.022743968,1019.0678,63.179398,0.018687917,69.292587,6.3130956,301.17654,1.8863876,7.3223405
11,5.5550342,0.083769046,0.031189959,0.021645723,1020.206,57.426559,0.028662406,72.461815,0.1033256,0.02684436,0.022547936,1019.1169,61.301708,0.016067293,70.473518,5.0179882,321.60556,2.9052439,4.8985944
12,4.8753233,0.081232898,0.034786042,0.020475864,1020.0902,55.1334,0.024889607,73.50827,0.10222448,0.03074134,0.020736828,1019.0406,58.639713,0.014044628,71.868736,4.2521114,321.76279,3.9264374,4.097271
13,4.7939143,0.079454355,0.038632922,0.018476114,1019.8328,53.514809,0.023912568,74.452126,0.1044473,0.034858041,0.018959023,1018.8179,56.252529,0.01220795,73.161255,3.8487532,310.78729,4.0534101,3.8558204
14,4.6381898,0.085423358,0.042252842,0.01738612,1019.5813,52.346706,0.021731518,75.140419,0.10656504,0.037851024,0.017830089,1018.5713,54.426918,0.010843758,74.048515,3.4929786,309.62332,3.9600396,3.6298246
15,4.1091599,0.079213269,0.040525328,0.017585553,1019.2465,51.072098,0.021973412,75.250664,0.097879581,0.038609717,0.016910786,1018.2836,52.006077,0.010496093,74.76104,3.0962234,313.38696,3.9675226,3.0523584
16,4.0332212,0.082729109,0.038766731,0.016879266,1019.0027,50.216343,0.023791475,74.736809,0.095204659,0.038824406,0.015319773,1018.0551,50.469643,0.012283612,74.787582,2.8633425,310.21466,4.3206887,2.7212584
17,13.692844,0.098336786,0.037538417,0.017393662,1018.8145,51.394566,0.029266395,73.787811,0.09590444,0.039639276,0.014738956,1017.8637,51.009861,0.013181712,73.893021,2.7432783,309.96985,3.9748685,2.6614273
18,8.8565016,0.091652274,0.032164227,0.021880969,1018.6954,52.77747,0.032690853,71.763229,0.09097521,0.035092704,0.01826375,1017.7324,51.635696,0.015755273,72.415756,2.5433297,308.87805,3.7348306,2.3696826
19,4.0986271,0.082618982,0.026644373,0.027868645,1018.8069,56.463062,0.032809235,69.110214,0.090234958,0.024577888,0.02759856,1017.7916,56.345497,0.01789804,69.135178,2.9907036,310.05151,3.225255,3.0049348
20,4.2457476,0.083715051,0.020037416,0.034816023,1018.916,60.874557,0.034470022,65.522461,0.097168855,0.020791776,0.033235095,1017.8381,61.1483,0.019027887,65.402077,3.3447897,316.38058,2.7889585,3.9341223
21,5.2955384,0.092747718,0.019754505,0.03730103,1019.1617,66.787834,0.039036337,63.206776,0.09643133,0.020663919,0.035408679,1018.0458,66.554855,0.019403664,63.290096,3.875263,310.61154,1.9784766,4.9217029
22,5.0699286,0.090389393,0.017668895,0.038158972,1019.5098,70.300659,0.04022247,62.066628,0.097350568,0.01810611,0.037049033,1018.3879,70.154175,0.020276137,62.155746,4.2719564,309.30521,1.3224518,4.8782878
23,5.5336056,0.097258925,0.015721593,0.036553208,1019.4078,72.388115,0.040330593,61.215954,0.09635441,0.015652915,0.036288563,1018.2645,72.092506,0.021177201,61.244617,4.8249583,306.0741,1.0749695,5.1460185